binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Gerbillus gerbillus,0.0297,0.237,5.9,0.0175,-0.025,0.0989,-0.0917,0.0072,AnAge
Crocidura suaveolens,0.0069,0.112,2.8,0.1499,-0.2303,0.849,-0.8441,0.005,AnAge
Vulpes zerda,1.1592,2.693,16.3,-0.0768,0.1191,-0.4348,0.4365,0.0016,AnAge
Gymnobelideus leadbeateri,0.166,0.574,14.1,-0.1383,0.2138,-0.7834,0.7835,0.0,AnAge
Funisciurus congicus,0.1123,0.533,9.5,-0.0479,0.074,-0.2712,0.2711,-0.0,AnAge
Zapus hudsonius,0.0261,0.219,5.6,0.0237,-0.0372,0.1342,-0.1363,-0.0021,AnAge
Cuniculus paca,9.156,15.323,16.3,0.0299,-0.0485,0.1694,-0.1779,-0.0085,AnAge
Elephantulus rufescens,0.053,0.317,7.9,-0.0379,0.0548,-0.2149,0.2008,-0.0141,AnAge
Heterohyrax brucei,1.6044,3.872,14.0,-0.021,0.0267,-0.1192,0.0978,-0.0215,AnAge
Funisciurus pyrropus,0.2432,1.0121,9.5,-0.0118,0.0113,-0.0667,0.0414,-0.0253,AnAge
Callospermophilus lateralis,0.2496,0.967,10.4,-0.0398,0.0485,-0.2252,0.1778,-0.0475,AnAge
Burramys parvus,0.0443,0.205,12.0,-0.171,0.2509,-0.9685,0.9195,-0.0491,AnAge
Ornithorhynchus anatinus,1.0303,1.931,22.6,-0.1842,0.2706,-1.0436,0.9917,-0.0519,AnAge
Condylura cristata,0.049,0.615,2.5,0.2745,-0.4385,1.5548,-1.6072,-0.0524,AnAge
Cercartetus nanus,0.0648,0.311,10.3,-0.1093,0.1537,-0.6192,0.5633,-0.0559,AnAge
Crocidura leucodon,0.0117,0.166,2.9,0.1551,-0.2579,0.8785,-0.9452,-0.0667,AnAge
Cryptomys hottentotus,0.0789,0.35,11.0,-0.1198,0.1663,-0.6784,0.6094,-0.069,AnAge
Proteles cristata,7.9026,11.563,20.0,-0.0462,0.0522,-0.2616,0.1915,-0.0701,AnAge
Suricata suricatta,0.85,1.729,20.6,-0.1719,0.2459,-0.9735,0.9014,-0.0722,AnAge
Sus scrofa,135.0,104.15,27.0,0.0179,-0.0476,0.1016,-0.1745,-0.0729,AnAge
Phodopus sungorus,0.0313,0.313,3.9,0.1218,-0.2091,0.6898,-0.7662,-0.0763,AnAge
Macropus robustus,29.6479,33.056,22.0,-0.0049,-0.0136,-0.0275,-0.0499,-0.0774,AnAge
Perognathus parvus,0.0192,0.16,5.8,-0.0163,0.003,-0.0923,0.0108,-0.0815,AnAge
Potorous tridactylus,1.0455,2.556,14.5,-0.0671,0.0767,-0.3798,0.2809,-0.0989,AnAge
Leopardus wiedii,3.6,5.227,24.0,-0.1443,0.1952,-0.8174,0.7154,-0.102,AnAge
Macropus parma,4.1566,7.6836,15.9,-0.0221,0.0047,-0.1252,0.0173,-0.1079,AnAge
Dipodomys deserti,0.1058,0.517,8.6,-0.0424,0.0356,-0.2402,0.1304,-0.1097,AnAge
Nasua nasua,3.9243,5.591,23.7,-0.1421,0.1827,-0.8051,0.6697,-0.1353,AnAge
Cryptomys damarensis,0.1313,0.418,15.5,-0.2025,0.2739,-1.1468,1.0038,-0.143,AnAge
Napaeozapus insignis,0.0218,0.22,4.0,0.0822,-0.1687,0.4654,-0.6183,-0.153,AnAge
Neotoma albigula,0.1776,0.735,9.5,-0.0521,0.0368,-0.2953,0.1349,-0.1604,AnAge
Lepus townsendii,2.5232,7.698,8.0,0.1353,-0.2531,0.7666,-0.9275,-0.161,AnAge
Hydrochoerus hydrochaeris,26.385,36.754,15.1,0.0778,-0.1676,0.4406,-0.6142,-0.1736,AnAge
Bettongia gaimardi,1.385,3.578,11.8,-0.0092,-0.0356,-0.0521,-0.1306,-0.1828,AnAge
Perognathus longimembris,0.0085,0.061,8.3,-0.1794,0.2247,-1.0163,0.8235,-0.1928,AnAge
Choloepus hoffmanni,4.0052,3.891,41.0,-0.306,0.4191,-1.7331,1.536,-0.197,AnAge
Neotoma lepida,0.1125,0.46,10.5,-0.1124,0.1173,-0.6367,0.4299,-0.2068,AnAge
Procavia capensis,2.458,4.954,14.8,-0.0479,0.0162,-0.2712,0.0594,-0.2118,AnAge
Microgale dobsoni,0.0446,0.315,5.6,0.0134,-0.0807,0.0762,-0.2956,-0.2194,AnAge
Baiomys taylori,0.0072,0.095,3.3,0.065,-0.1624,0.3684,-0.5952,-0.2268,AnAge
Elephantulus rozeti,0.049,0.288,7.2,-0.055,0.0209,-0.3115,0.0764,-0.235,AnAge
Melursus ursinus,66.957,47.064,33.3,-0.107,0.1003,-0.6062,0.3677,-0.2385,AnAge
Echinosorex gymnura,0.7212,2.816,7.0,0.0915,-0.2095,0.5184,-0.7678,-0.2494,AnAge
Dendrolagus matschiei,6.96,7.96,26.9,-0.1685,0.1913,-0.9544,0.701,-0.2534,AnAge
Hyaena hyaena,34.3,31.954,25.0,-0.0653,0.0301,-0.3699,0.1103,-0.2597,AnAge
Hystrix africaeaustralis,11.3,13.175,23.1,-0.1017,0.0858,-0.5761,0.3145,-0.2616,AnAge
Suncus murinus,0.0397,0.403,3.2,0.157,-0.3143,0.8891,-1.1517,-0.2626,AnAge
Sylvilagus audubonii,0.6869,2.506,7.8,0.0562,-0.1585,0.3181,-0.5811,-0.2629,AnAge
Aepyprymnus rufescens,2.82,5.978,12.8,-0.0094,-0.058,-0.0532,-0.2125,-0.2657,AnAge
Raphicerus campestris,9.6,20.619,9.3,0.144,-0.2961,0.8155,-1.0851,-0.2696,AnAge
Molossus molossus,0.0137,0.1124,5.6,-0.0638,0.0151,-0.3614,0.0553,-0.3061,AnAge
Trichosurus vulpecula,1.9935,3.8,15.9,-0.0973,0.0643,-0.5513,0.2358,-0.3155,AnAge
Kerodon rupestris,0.801,2.011,12.9,-0.0876,0.0475,-0.4963,0.174,-0.3223,AnAge
Antechinus stuartii,0.025,0.189,5.4,-0.0268,-0.0495,-0.1517,-0.1814,-0.3331,AnAge
Rattus norvegicus,0.2069,1.404,3.8,0.181,-0.3735,1.0255,-1.3689,-0.3435,AnAge
Chaetodipus formosus,0.0151,0.103,7.1,-0.1322,0.1103,-0.7489,0.4041,-0.3448,AnAge
Octodontomys gliroides,0.1541,0.715,7.33,-0.0196,-0.0641,-0.1109,-0.235,-0.3458,AnAge
Acrobates pygmaeus,0.014,0.084,8.8,-0.197,0.2096,-1.1161,0.7683,-0.3478,AnAge
Onychomys torridus,0.0191,0.165,4.6,-0.0013,-0.0973,-0.0073,-0.3566,-0.3639,AnAge
Propithecus verreauxi,3.35,3.738,31.0,-0.2673,0.3122,-1.5143,1.1442,-0.3701,AnAge
Cynomys ludovicianus,1.1123,2.358,15.0,-0.1215,0.0864,-0.6882,0.3165,-0.3718,AnAge
Camelus dromedarius,407.0,224.779,28.4,0.0058,-0.1152,0.0328,-0.4221,-0.3893,AnAge
Jaculus orientalis,0.139,0.775,5.5,0.0478,-0.1807,0.2706,-0.6622,-0.3916,AnAge
Tarsipes rostratus,0.01,0.162,2.0,0.1938,-0.4065,1.0976,-1.4899,-0.3924,AnAge
Dasypus novemcinctus,3.4137,4.655,22.3,-0.178,0.1676,-1.008,0.6143,-0.3938,AnAge
Graphiurus murinus,0.0384,0.225,6.9,-0.0857,0.0221,-0.4855,0.0812,-0.4044,AnAge
Nyctophilus gouldi,0.0113,0.1142,4.0,0.0031,-0.1156,0.0177,-0.4235,-0.4058,AnAge
Georychus capensis,0.193,0.637,11.2,-0.1404,0.1015,-0.7951,0.3722,-0.4229,AnAge
Rattus fuscipes,0.076,0.471,5.3,0.0209,-0.1478,0.1185,-0.5417,-0.4231,AnAge
Macropus eugenii,4.796,7.78,15.1,-0.0616,-0.0293,-0.3488,-0.1074,-0.4562,AnAge
Poliocitellus franklinii,0.607,2.19,7.2,0.0364,-0.1833,0.2063,-0.6717,-0.4654,AnAge
Caluromys derbianus,0.3427,1.194,8.7,-0.0476,-0.0547,-0.2699,-0.2005,-0.4704,AnAge
Rattus rattus,0.117,0.77,4.2,0.099,-0.2838,0.5609,-1.0402,-0.4792,AnAge
Xerospermophilus tereticaudus,0.1251,0.501,8.9,-0.1086,0.0369,-0.6153,0.1352,-0.4801,AnAge
Planigale tenuirostris,0.0071,0.063,5.2,-0.1089,0.0362,-0.6171,0.1327,-0.4844,AnAge
Tachyglossus aculeatus,2.909,2.327,49.5,-0.4289,0.5269,-2.4294,1.931,-0.4984,AnAge
Acomys cahirinus,0.042,0.258,5.9,-0.0544,-0.0531,-0.3081,-0.1947,-0.5028,AnAge
Orycteropus afer,48.0,34.275,29.8,-0.1403,0.0791,-0.7947,0.2899,-0.5048,AnAge
Dasyuroides byrnei,0.1,0.439,8.0,-0.0957,0.0088,-0.5423,0.0321,-0.5102,AnAge
Hydromys chrysogaster,0.9,2.97,7.3,0.0452,-0.2092,0.2558,-0.7668,-0.511,AnAge
Glis glis,0.1744,0.664,8.7,-0.0905,0.0001,-0.5128,0.0003,-0.5126,AnAge
Nandinia binotata,4.27,5.565,21.0,-0.1706,0.1234,-0.9666,0.4521,-0.5144,AnAge
Tamandua tetradactyla,3.5,5.015,19.0,-0.1534,0.096,-0.8692,0.3519,-0.5172,AnAge
Tatera indica,0.0869,0.422,7.0,-0.0688,-0.0378,-0.3899,-0.1387,-0.5286,AnAge
Myodes gapperi,0.0198,0.3055,1.67,0.2545,-0.5412,1.4414,-1.9836,-0.5423,PanTHERIA
Spilocuscus maculatus,4.25,6.27,17.0,-0.1174,0.032,-0.6648,0.1172,-0.5476,AnAge
Gerbillus pyramidum,0.1085,0.454,8.2,-0.1067,0.0129,-0.6046,0.0471,-0.5575,AnAge
Pseudocheirus peregrinus,0.8593,2.27,10.1,-0.0571,-0.0645,-0.3232,-0.2363,-0.5595,AnAge
Phascolarctos cinereus,4.7324,5.744,22.1,-0.1892,0.1372,-1.0714,0.5028,-0.5686,AnAge
Arctictis binturong,14.28,12.747,27.0,-0.1895,0.1346,-1.0733,0.4933,-0.58,AnAge
Spilogale putorius,0.624,1.674,10.5,-0.0889,-0.0217,-0.5037,-0.0794,-0.5831,AnAge
Thomomys talpoides,0.0976,0.679,3.75,0.1013,-0.3183,0.5737,-1.1667,-0.5929,AnAge
Aplodontia rufa,0.7068,1.892,10.0,-0.0749,-0.053,-0.424,-0.1941,-0.6181,AnAge
Sminthopsis crassicaudata,0.016,0.121,5.0,-0.0804,-0.0467,-0.4556,-0.1712,-0.6268,AnAge
Myopus schisticolor,0.0264,0.522,1.0,0.3973,-0.7863,2.2506,-2.8817,-0.6311,AnAge
Dicrostonyx groenlandicus,0.0568,0.459,3.3,0.1011,-0.3299,0.5726,-1.2092,-0.6366,AnAge
Thomomys bottae,0.143,0.67,6.1,-0.0243,-0.138,-0.1379,-0.5058,-0.6437,AnAge
Nycticebus coucang,1.1286,1.504,25.8,-0.3214,0.3207,-1.8203,1.1753,-0.645,AnAge
Setonix brachyurus,2.7023,4.695,13.8,-0.1009,-0.0219,-0.5717,-0.0801,-0.6518,AnAge
Reithrodon auritus,0.0787,0.428,5.5,-0.0316,-0.1345,-0.179,-0.4931,-0.6721,AnAge
Marmota marmota,4.0591,5.6317,17.4,-0.1496,0.0458,-0.8473,0.1679,-0.6794,AnAge
Mesocricetus auratus,0.1082,0.69,3.9,0.0759,-0.3097,0.43,-1.1349,-0.7048,AnAge
Myotis nigricans,0.0037,0.027,7.0,-0.2724,0.2182,-1.5431,0.7996,-0.7435,AnAge
Puma yagouaroundi,8.4,9.69,18.6,-0.1421,0.0158,-0.8048,0.0578,-0.747,AnAge
Lasiurus cinereus,0.0271,0.0922,14.0,-0.3635,0.3578,-2.0588,1.3114,-0.7474,AnAge
Tolypeutes matacus,1.16,1.172,36.8,-0.4383,0.4727,-2.4826,1.7324,-0.7502,AnAge
Leptailurus serval,1.012,1.44,22.4,-0.306,0.2682,-1.7335,0.9828,-0.7506,AnAge
Phascogale tapoatafa,0.1537,0.694,5.9,-0.0317,-0.1583,-0.1796,-0.5803,-0.7599,AnAge
Peromyscus californicus,0.047,0.267,5.5,-0.0748,-0.0927,-0.4237,-0.3398,-0.7635,AnAge
Microgale talazaci,0.044,0.243,5.8,-0.095,-0.0643,-0.5381,-0.2357,-0.7738,AnAge
Cerdocyon thous,5.444,8.502,12.7,-0.0628,-0.1147,-0.3557,-0.4205,-0.7763,AnAge
Thrichomys apereoides,0.323,1.153,7.0,-0.0442,-0.1443,-0.2506,-0.529,-0.7796,AnAge
Heliosciurus rufobrachium,0.23,0.744,8.7,-0.128,-0.0224,-0.7248,-0.082,-0.8068,AnAge
Geocapromys brownii,2.456,4.11,13.5,-0.1287,-0.0237,-0.7292,-0.0867,-0.8159,AnAge
Arctogalidia trivirgata,2.01,3.085,16.1,-0.1904,0.0691,-1.0787,0.2532,-0.8255,AnAge
Chaetophractus villosus,4.54,4.508,25.2,-0.2814,0.1976,-1.5937,0.7241,-0.8696,AnAge
Erinaceus europaeus,1.2135,2.434,11.7,-0.135,-0.0286,-0.765,-0.1049,-0.8698,AnAge
Sekeetamys calurus,0.0636,0.274,7.3,-0.1585,0.0057,-0.8975,0.0209,-0.8767,AnAge
Phodopus campbelli,0.0271,0.3296,1.79,0.1899,-0.5351,1.0754,-1.9609,-0.8855,PanTHERIA
Nycticeius humeralis,0.0091,0.0598,6.0,-0.2098,0.0781,-1.1883,0.2861,-0.9022,AnAge
Sarcophilus harrisii,6.1268,8.664,13.0,-0.0917,-0.1142,-0.5193,-0.4185,-0.9378,AnAge
Lagostomus maximus,6.794,10.623,10.8,-0.0356,-0.2031,-0.2015,-0.7443,-0.9459,AnAge
Proechimys semispinosus,0.498,1.75,5.8,0.0011,-0.2611,0.0063,-0.957,-0.9507,AnAge
Tamandua mexicana,3.8842,5.124,16.0,-0.1768,0.013,-1.0014,0.0475,-0.9539,AnAge
Planigale maculata,0.0106,0.067,5.8,-0.208,0.0511,-1.1779,0.1874,-0.9905,AnAge
Chaetophractus vellerosus,1.11,1.707,16.2,-0.2612,0.1199,-1.4793,0.4396,-1.0397,AnAge
Sminthopsis macroura,0.0206,0.128,4.9,-0.1353,-0.076,-0.7663,-0.2785,-1.0448,AnAge
Mephitis mephitis,2.4,3.5642,13.9,-0.1834,-0.0091,-1.0387,-0.0334,-1.0721,AnAge
Microtus richardsoni,0.0645,0.701,1.5,0.2451,-0.6827,1.3883,-2.5019,-1.1136,AnAge
Peromyscus boylii,0.0239,0.303,1.5,0.1924,-0.6021,1.0897,-2.2068,-1.1171,PanTHERIA
Marmosa robinsoni,0.122,0.547,5.0,-0.0626,-0.2115,-0.3546,-0.7751,-1.1297,AnAge
Scapanus latimanus,0.0625,0.4257,3.0,0.0386,-0.379,0.2185,-1.3891,-1.1706,PanTHERIA
Reithrodontomys megalotis,0.009,0.13,1.5,0.1313,-0.5229,0.7435,-1.9165,-1.173,AnAge
Marmota monax,2.65,3.696,14.0,-0.1987,-0.014,-1.1255,-0.0514,-1.1769,AnAge
Zaglossus bruijni,11.8486,6.493,41.2,-0.4239,0.3333,-2.401,1.2214,-1.1796,AnAge
Gerbillus perpallidus,0.0563,0.261,5.5,-0.1413,-0.1074,-0.8004,-0.3935,-1.194,AnAge
Lasiorhinus latifrons,27.3482,16.001,29.9,-0.2946,0.1262,-1.6688,0.4625,-1.2064,AnAge
Conilurus penicillatus,0.2132,0.908,4.5,-0.0176,-0.3025,-0.1,-1.1087,-1.2087,AnAge
Lepilemur mustelinus,0.669,1.2562,12.0,-0.2355,0.0307,-1.3339,0.1124,-1.2215,AnAge
Euphractus sexcinctus,8.19,6.901,22.1,-0.2815,0.0927,-1.5948,0.3398,-1.255,AnAge
Planigale gilesi,0.0091,0.058,5.0,-0.2227,-0.0009,-1.2616,-0.0035,-1.2651,AnAge
Macrotis lagotis,1.2455,2.4,9.6,-0.1493,-0.1166,-0.8458,-0.4275,-1.2733,AnAge
Galea musteloides,0.322,1.473,3.5,0.0631,-0.4451,0.3574,-1.6313,-1.2739,AnAge
Myrmecobius fasciatus,0.4382,0.907,11.0,-0.2442,0.0272,-1.3831,0.0997,-1.2833,AnAge
Lagorchestes conspicillatus,2.66,4.749,8.8,-0.091,-0.216,-0.5155,-0.7915,-1.307,AnAge
Perameles gunnii,0.695,1.902,6.1,-0.0673,-0.2663,-0.3811,-0.9758,-1.357,AnAge
Eonycteris spelaea,0.0587,0.2679,5.0,-0.1431,-0.1522,-0.8107,-0.5576,-1.3683,PanTHERIA
Micaelamys namaquensis,0.0626,0.292,4.7,-0.1259,-0.1842,-0.7129,-0.6752,-1.3881,AnAge
Dasyurus viverrinus,0.9453,2.26,6.8,-0.0889,-0.244,-0.5035,-0.8944,-1.3979,AnAge
Spermophilus armatus,0.3065,1.0627,5.0,-0.0632,-0.2862,-0.358,-1.0489,-1.407,PanTHERIA
Capromys pilorides,2.63,3.375,13.8,-0.2358,-0.0197,-1.3355,-0.0721,-1.4076,AnAge
Arvicola amphibius,0.0947,0.613,2.5,0.0663,-0.492,0.3758,-1.803,-1.4272,AnAge
Antechinus flavipes,0.0465,0.252,3.9,-0.0966,-0.2412,-0.5469,-0.8838,-1.4307,AnAge
Myotis velifer,0.0119,0.04,11.3,-0.4683,0.3314,-2.6524,1.2146,-1.4378,AnAge
Erinaceus concolor,0.8227,1.937,7.0,-0.1123,-0.2202,-0.6361,-0.8069,-1.443,AnAge
Trichechus inunguis,167.594,55.015,40.0,-0.3271,0.1055,-1.8528,0.3867,-1.466,AnAge
Xerospermophilus mohavensis,0.24,0.629,7.8,-0.2142,-0.0733,-1.2135,-0.2685,-1.482,AnAge
Atelerix albiventris,0.45,0.828,11.4,-0.2921,0.0406,-1.6545,0.1487,-1.5058,AnAge
Galago moholi,0.17,0.285,16.6,-0.4498,0.2827,-2.548,1.0362,-1.5119,AnAge
Thylogale thetis,5.3999,7.8117,9.0,-0.097,-0.2637,-0.5496,-0.9663,-1.5158,AnAge
Perameles nasuta,0.645,1.763,5.6,-0.0768,-0.2973,-0.4351,-1.0898,-1.5249,AnAge
Spermophilus beecheyi,0.5978,1.7742,5.0,-0.0502,-0.3404,-0.2846,-1.2475,-1.5321,PanTHERIA
Spalax leucodon,0.1887,0.7132,4.5,-0.0842,-0.2926,-0.4769,-1.0724,-1.5493,PanTHERIA
Dasyurus geoffroii,1.3267,2.991,6.2,-0.0735,-0.3116,-0.4165,-1.1421,-1.5587,AnAge
Isoodon macrourus,1.551,3.202,6.8,-0.0929,-0.2842,-0.5264,-1.0416,-1.568,AnAge
Notiosorex crawfordi,0.0048,0.073,1.25,0.0787,-0.551,0.4456,-2.0192,-1.5736,PanTHERIA
Dasyurus hallucatus,0.571,1.501,5.9,-0.1085,-0.2648,-0.6143,-0.9705,-1.5848,AnAge
Pseudantechinus macdonnellensis,0.0431,0.152,7.0,-0.2923,0.019,-1.6556,0.0698,-1.5858,AnAge
Scapanus orarius,0.0621,0.3577,3.0,-0.0353,-0.3786,-0.2002,-1.3876,-1.5878,PanTHERIA
Ailurus fulgens,5.74,4.898,19.0,-0.3189,0.0559,-1.8064,0.2049,-1.6015,AnAge
Myrmecophaga tridactyla,30.6,14.543,31.0,-0.3714,0.1328,-2.1035,0.4866,-1.6169,AnAge
Didelphis virginiana,2.8466,5.299,6.6,-0.0647,-0.3464,-0.3664,-1.2696,-1.636,AnAge
Antechinus swainsonii,0.0669,0.351,3.3,-0.0668,-0.3432,-0.3782,-1.2578,-1.6361,AnAge
Ctenomys talarum,0.121,0.611,3.0,-0.012,-0.4327,-0.0678,-1.5857,-1.6535,AnAge
Crocidura flavescens,0.0332,0.248,2.2,0.0022,-0.4625,0.0125,-1.6949,-1.6824,AnAge
Rhabdomys pumilio,0.0396,0.179,4.5,-0.1947,-0.166,-1.1028,-0.6083,-1.7112,AnAge
Dasycercus cristicauda,0.091,0.26,7.4,-0.2936,-0.0175,-1.6632,-0.064,-1.7272,AnAge
Zaedyus pichiy,1.74,2.192,12.5,-0.2936,-0.0291,-1.663,-0.1067,-1.7698,AnAge
Dendrohyrax dorsalis,3.175,4.1951,10.0,-0.2004,-0.1748,-1.1351,-0.6407,-1.7758,PanTHERIA
Saccostomus campestris,0.0681,0.274,4.5,-0.1799,-0.21,-1.019,-0.7695,-1.7885,AnAge
Didelphis marsupialis,1.2443,3.31,4.2,-0.0094,-0.4756,-0.0533,-1.743,-1.7962,AnAge
Antechinomys laniger,0.0258,0.141,3.5,-0.1639,-0.2404,-0.9284,-0.8809,-1.8093,AnAge
Heliophobius argenteocinereus,0.0885,0.43,3.1,-0.0664,-0.3931,-0.3761,-1.4405,-1.8167,AnAge
Hemiechinus auritus,0.3985,0.845,7.6,-0.2451,-0.1257,-1.3885,-0.4605,-1.849,AnAge
Cricetus cricetus,0.3653,1.251,3.6,-0.0474,-0.4431,-0.2687,-1.624,-1.8927,AnAge
Dasyurus maculatus,1.782,3.142,6.8,-0.1447,-0.2955,-0.8197,-1.0828,-1.9025,AnAge
Monodelphis brevicaudata,0.0915,0.366,3.9,-0.1468,-0.2961,-0.8318,-1.085,-1.9168,AnAge
Gerbillus nanus,0.0297,0.129,4.5,-0.2467,-0.1426,-1.3974,-0.5228,-1.9202,AnAge
Cannomys badius,0.344,0.96,4.8,-0.1436,-0.3133,-0.8132,-1.1482,-1.9614,AnAge
Setifer setosus,0.4276,0.573,14.1,-0.4359,0.137,-2.4693,0.5022,-1.9671,AnAge
Monodelphis domestica,0.104,0.335,5.1,-0.2255,-0.1899,-1.2771,-0.6961,-1.9732,AnAge
Microtus pennsylvanicus,0.0382,0.428,0.92,0.1952,-0.8541,1.1056,-3.1301,-2.0245,AnAge
Trichechus manatus,450.0,70.0056,69.0,-0.5323,0.2622,-3.0154,0.9609,-2.0544,AnAge
Abrothrix olivaceus,0.0245,0.2746,1.0,0.1416,-0.7803,0.802,-2.8598,-2.0578,PanTHERIA
Philander opossum,0.751,1.886,4.4,-0.0953,-0.4144,-0.5396,-1.5188,-2.0585,AnAge
Chironectes minimus,0.9405,2.793,3.1,0.0047,-0.5848,0.0264,-2.1431,-2.1167,AnAge
Thallomys paedulcus,0.1324,0.487,3.5,-0.1387,-0.373,-0.7858,-1.3671,-2.1529,AnAge
Rattus lutreolus,0.109,0.353,4.4,-0.2175,-0.2579,-1.2318,-0.9451,-2.1769,AnAge
Isoodon auratus,0.428,0.837,6.7,-0.2717,-0.1862,-1.5388,-0.6824,-2.2212,AnAge
Geocapromys ingrahami,0.775,1.483,6.0,-0.2095,-0.2823,-1.1869,-1.0345,-2.2214,AnAge
Metachirus nudicaudatus,0.336,1.144,3.0,-0.06,-0.5155,-0.34,-1.8893,-2.2294,AnAge
Sminthopsis murina,0.017,0.1145,2.0,-0.1234,-0.4496,-0.699,-1.6476,-2.3466,PanTHERIA
Isoodon obesulus,0.717,1.238,6.5,-0.2636,-0.2412,-1.4928,-0.884,-2.3768,AnAge
Lutreolina crassicaudata,0.812,2.265,2.9,-0.0402,-0.6018,-0.228,-2.2056,-2.4335,AnAge
Echymipera rufescens,0.8866,2.255,3.1,-0.0697,-0.58,-0.3951,-2.1256,-2.5206,AnAge
Hemicentetes nigriceps,0.103,0.4045,2.6,-0.1405,-0.4818,-0.7961,-1.7656,-2.5616,PanTHERIA
Ptilocercus lowii,0.0575,0.24,2.7,-0.1844,-0.4181,-1.0443,-1.5322,-2.5765,AnAge
Peromyscus gossypinus,0.0277,0.2065,1.29,-0.0204,-0.679,-0.1153,-2.4885,-2.6038,PanTHERIA
Elephantulus myurus,0.0595,0.4368,1.1,0.0649,-0.8108,0.3679,-2.9716,-2.6038,PanTHERIA
Amblysomus hottentotus,0.0626,0.4729,1.0,0.0835,-0.8563,0.4731,-3.1384,-2.6653,PanTHERIA
Hemicentetes semispinosus,0.1164,0.38,2.7,-0.2061,-0.4753,-1.1672,-1.7419,-2.9091,AnAge
Eligmodontia typus,0.0175,0.167,0.8,0.0314,-0.8499,0.1778,-3.1147,-2.9369,AnAge
Tenrec ecaudatus,0.65,0.729,8.7,-0.4628,-0.1066,-2.6212,-0.3908,-3.0121,AnAge
Planigale ingrami,0.0088,0.065,1.3,-0.1627,-0.5833,-0.9217,-2.1376,-3.0593,AnAge
Paraechinus aethiopicus,0.4515,0.63,6.3,-0.4118,-0.2173,-2.3327,-0.7963,-3.1289,AnAge
Priodontes maximus,45.19,16.892,15.0,-0.4287,-0.2141,-2.4281,-0.7848,-3.2128,AnAge
Cyclopes didactylus,0.24,0.636,2.3,-0.2094,-0.6036,-1.1863,-2.2122,-3.3985,AnAge
Manis crassicaudata,15.91,6.923,13.5,-0.4885,-0.1752,-2.7671,-0.6421,-3.4092,AnAge
Eremitalpa granti,0.022,0.0859,2.0,-0.3296,-0.4706,-1.8669,-1.7248,-3.5918,PanTHERIA
